"ID","householdID","communityID","Birth_Year","Birth_Month","ba003","Current_Hukou","Marital_Status","bf004","Adult_Edu","Age_2011","Edu_Group","Area_Type"
"01045110301","010451103","0104511",1950,7,2,"1","1",NA,0,61,2,"1"
"01045110701","010451107","0104511",1951,6,2,"1","1",NA,0,60,1,"1"
"01045110801","010451108","0104511",1948,7,2,"1","1",NA,0,63,1,"1"
"01045110802","010451108","0104511",1946,5,2,"1","1",NA,0,65,1,"1"
"01045110901","010451109","0104511",1944,11,2,"1","1",NA,0,67,1,"1"
"01045110902","010451109","0104511",1944,9,2,"1","1",NA,0,67,1,"1"
"01045111001","010451110","0104511",1936,12,2,"1","5",1,0,75,1,"1"
"01045111501","010451115","0104511",1950,4,2,"1","1",NA,0,61,1,"1"
"01045111601","010451116","0104511",1943,4,2,"1","1",NA,0,68,1,"1"
"01045111602","010451116","0104511",1945,4,2,"2","1",NA,0,66,2,"1"
"01045111801","010451118","0104511",1944,9,2,"1","1",NA,0,67,1,"1"
"01045111802","010451118","0104511",1946,10,2,"1","1",NA,0,65,1,"1"
"01045111901","010451119","0104511",1943,7,2,"1","5",2,0,68,1,"1"
"01045112001","010451120","0104511",1945,3,2,"1","1",NA,0,66,1,"1"
"01045112102","010451121","0104511",1949,3,2,"1","5",1,0,62,1,"1"
"01045120101","010451201","0104512",1943,10,2,"1","1",NA,0,68,1,"1"
"01045120102","010451201","0104512",1939,8,2,"1","1",NA,0,72,1,"1"
"01045120201","010451202","0104512",1930,3,2,"1","5",1,0,81,1,"1"
"01045120301","010451203","0104512",1935,6,2,"1","1",NA,0,76,1,"1"
"01045120302","010451203","0104512",1936,8,2,"1","1",NA,0,75,1,"1"
"01045120501","010451205","0104512",1937,3,2,"1","1",NA,0,74,1,"1"
"01045120502","010451205","0104512",1949,3,2,"1","1",NA,0,62,1,"1"
"01045120701","010451207","0104512",1951,3,2,"1","1",NA,0,60,1,"1"
"01045120702","010451207","0104512",1950,2,2,"1","1",NA,0,61,2,"1"
"01045121002","010451210","0104512",1951,12,2,"1","1",NA,0,60,2,"1"
"01045121201","010451212","0104512",1941,10,2,"1","1",NA,0,70,1,"1"
"01045121202","010451212","0104512",1936,4,2,"1","1",NA,0,75,1,"1"
"01045121501","010451215","0104512",1934,11,2,"1","5",1,0,77,1,"1"
"01045121702","010451217","0104512",1950,10,2,"1","2",NA,0,61,1,"1"
"01045122301","010451223","0104512",1941,12,2,"1","5",1,0,70,1,"1"
"01045122601","010451226","0104512",1942,12,2,"1","1",NA,0,69,1,"1"
"01045122602","010451226","0104512",1937,2,2,"1","1",NA,0,74,1,"1"
"01045130101","010451301","0104513",1923,6,2,"1","5",1,0,88,1,"1"
"01045130301","010451303","0104513",1938,10,2,"1","5",1,0,73,1,"1"
"01045130501","010451305","0104513",1936,9,2,"1","1",NA,0,75,1,"1"
"01045130502","010451305","0104513",1939,3,2,"1","1",NA,0,72,1,"1"
"01045130601","010451306","0104513",1946,3,2,"1","1",NA,0,65,1,"1"
"01045130602","010451306","0104513",1948,2,2,"1","1",NA,0,63,2,"1"
"01045130701","010451307","0104513",1938,2,2,"1","1",NA,0,73,1,"1"
"01045130702","010451307","0104513",1938,4,2,"1","1",NA,0,73,1,"1"
